id;sign
1000;C
2000;C
2020;C
3010;D
3030;D
3050;C
3060;C
4000;C
4001;C
4100;C
4101;C
4250;C
4251;C
4252;C
4253;C
5000;D
6000;D
7000;C
8000;C
C001;C
OD01;D
